"Coming in at #10 was 'Close Encounters of the Third Kind', an extraordinary tale of unearthly visitors and the unusual effects they have on ordinary earthlings. Who directed this popular sci-fi extravaganza?",George Lucas,Milos Forman,Stanley Kubrick,Steven Spielberg,D
"At #9 on the list is 'The Matrix', a 1999 brain-in-the-box, sci-fi thriller that starred all but which of the following actors?",Keanu Reeves,Guy Pearce,Laurence Fishburne,Carrie-Anne Moss,B
"Arriving at #8 on the list was the 1953 classic 'The War of the Worlds'. Though the special effects featured in this film are now well-outdated, it nonetheless captured well the mood set in the original novel that was written by whom?",Arthur C. Clarke,H. G. Wells,Isaac Asimov,Jules Verne,B
"#7 on this top ten list is a wonderful 1951 sci-fi, adventure film that is part thriller, part moral play, namely 'The Day the Earth Stood Still'.  What is the name of the alien being in this film?",Accabwehc,Nikto,Klaatu,Verata,C
"Listed at #6 on the top ten list is the combination of the first two 'Terminator' films. In these films, cybernetic organisms called terminators travel to the past in order to kill a woman and her son. What is the last name of this mother/son pair?",Davis,Connor,Phillips,Anderson,B
"We now reach the top five! Which 1972 film, which was remade in a 2002 version starring George Clooney, and which was based on a novel by Stanislaw Lem, occupies the #5 position on the list?",Solaris,Soylent Green,The Andromeda Strain,Day of the Triffids,A
Coming aboard at #4 we have the 1979 classic sci-fi film 'Alien'. Which actress is featured among the cast of this gruesome tale of outer space encounters with a malevolent alien race?,Jessica Lange,Sigourney Weaver,Geena Davis,Glenn Close,B
"Down to the nitty-gritty we come. At #3 in our countdown we have another classic sci-fi series, this time the original 'Star Wars' and its sequel 'The Empire Strikes Back'. This question should not be difficult for true fans of the series: Which of these characters only appears in one of the first two films?",Chewbacca,C-3PO,Lando Calrissian,Obi-Wan Kenobi,C
"The #2 movie on this list is one of the most beautiful films ever produced, namely '2001: A Space Odyssey'. What is the name of the main character in this lovely film, portrayed by Keir Dullea?",Dr. Rolf Halvorsen,Dr. Frank Poole,Dr. Dave Bowman,Dr. Bill Michaels,C
"And finally, the #1 sci-fi film of all-time according to this group of prominent scientists is 'Blade Runner', the futuristic drama detailing a bounty hunter's relentless pursuit of a series of androids on the lam. What is the name used for these androids in the film?",Pseudo-humans,Synthoids,Replicants,Cybots,C

